Glimmer,PHE,GE,CI,Mod,LI,Type,Subtype,OL,AO
627,,,,,,WC,,5,LANDING
726,,1,,,,WC,,5,LANDING
693,,1,,,,WC,,5,LANDING
297,,,,,,WC,,5,LANDING
231,,,,,,WC,,5,LANDING
726,,,,,,WC,,1,BLOOMING
726,1,,,,,WC,,1,BLOOMING
660,,,,,,EC,,1,BLOOMING
759,,,,,,WC,,1,BLOOMING
693,,,,,,WC,,1,BLOOMING
726,,,,,,WC,,1,BLOOMING
660,,,,,,WC,,1,BLOOMING
330,,,,,1,HVT,ASHORC,1,BLOOMING
264,,,,,,WC,,1,BLOOMING
231,,,,,,WC,,1,BLOOMING
264,,,,,,WC,,1,BLOOMING
264,,,,,,WC,,1,BLOOMING
231,,,,,,WC,,2,BLOOMING
264,,,,,,WC,,2,BLOOMING
264,,,,,,WC,,2,BLOOMING
627,1,,,,,EC,,2,BLOOMING
759,,,,,,WC,,2,BLOOMING
693,,,,,,WC,,2,BLOOMING
726,,,,,,WC,,2,BLOOMING
660,,,,,,WC,,2,BLOOMING
660,,,,1,,EC,TAKEN PYLONS,3,BLOOMING
660,,,,,,WC,,3,BLOOMING
726,,,,,,WC,,3,BLOOMING
660,,,,,,WC,,3,BLOOMING
660,,,,,,WC,,3,BLOOMING
495,,,,,,HVT,ASHORC,3,BLOOMING
264,,,,,,WC,,3,BLOOMING
264,1,,,,,WC,,3,BLOOMING
297,,,,,,WC,,3,BLOOMING
231,,,,,,WC,,3,BLOOMING
297,,1,,,,WC,,3,BLOOMING
264,,,,,,WC,,3,BLOOMING
231,,1,,,,WC,,3,BLOOMING
264,,,,,,WC,,3,BLOOMING
264,,1,,,,WC,,3,BLOOMING
693,,1,,,,WC,,3,BLOOMING
495,,,,,1,EC,TAKEN OGRES,4,BLOOMING
693,1,,,,,WC,,4,BLOOMING
693,,,,,,WC,,4,BLOOMING
693,,,,,,WC,,4,BLOOMING
660,,,,,,WC,,4,BLOOMING
693,,1,,,,WC,,4,BLOOMING
264,,1,,,,WC,,4,BLOOMING
495,,,,,,HVT,ASHORC,4,BLOOMING
660,,,,,,WC,,4,BLOOMING
693,,,,,,WC,,4,BLOOMING
726,,,,,,WC,,4,BLOOMING
1023,,,,1,2,FC,,5,BLOOMING
693,,,1,,,WC,,5,BLOOMING
792,1,,,,,EC,OFFERING,5,BLOOMING
693,,,,,,WC,,5,BLOOMING
627,,,,,,WC,,5,BLOOMING
693,,,,,,WC,,5,BLOOMING
759,,,,,,WC,,1,BLOOMING
693,,,,,,WC,,1,LANDING
660,,,,,,WC,,1,IMPASSE
495,,,,,,HVT,ENLIGHTENED SUBJUGATOR,1,IMPASSE
726,,1,,,,WC,,1,IMPASSE
726,,1,,,,WC,,1,IMPASSE
660,,,,,,WC,,1,IMPASSE
231,1,,,,,WC,,1,IMPASSE
231,,,,,,WC,,1,IMPASSE
792,,,,,,EC,RESTORATION,1,IMPASSE
693,,,,,,WC,,1,IMPASSE
726,,1,,,,WC,,1,IMPASSE
627,,,,,,WC,,1,IMPASSE
858,,,,,,EC,MENDING,1,IMPASSE
660,,1,,,,WC,,1,IMPASSE
825,,,,,,EC,EXPUNGE,2,IMPASSE
759,,,,,,WC,,2,IMPASSE
660,,,,,,WC,,2,IMPASSE
660,,1,,,,WC,,2,IMPASSE
726,1,,,,,WC,,2,IMPASSE
264,,,,,,WC,,2,IMPASSE
495,,,,,,HVT,ENLIGHTENED SUBJUGATOR,2,IMPASSE
231,,,,,,WC,,2,IMPASSE
264,,,,,,WC,,2,IMPASSE
693,,,,,,WC,,2,IMPASSE
726,,,,,,WC,,2,IMPASSE
660,,,,,,WC,,2,IMPASSE
693,,,,,,WC,,2,IMPASSE
759,,,,,,WC,,2,IMPASSE
660,,,,,1,EC,EXPUNGE,2,IMPASSE
660,,,,,,WC,,2,IMPASSE
726,,,,,,WC,,2,IMPASSE
726,1,,,,,WC,,3,IMPASSE
693,,,,,,WC,,3,IMPASSE
528,1,,,,1,EC,BLIGHT INFECTION,3,IMPASSE
693,,1,,,,WC,,3,IMPASSE
693,,,,,,WC,,3,IMPASSE
693,,,,,,WC,,3,IMPASSE
825,,,,,,EC,EXPUNGE,3,IMPASSE
495,,,,,,HVT,ENLIGHTENED SUBJUGATOR,4,IMPASSE
660,1,,,,,WC,,4,IMPASSE
693,,,,,,WC,,4,IMPASSE
726,,,,,,WC,,4,IMPASSE
660,,,,,,WC,,4,IMPASSE
693,,1,,,,WC,,4,IMPASSE
660,,,,,1,EC,MENDING,4,IMPASSE
726,,,1,,,WC,,4,IMPASSE
495,,,,,,HVT,ENLIGHTENED SUBJUGATOR,4,IMPASSE
693,,,,,,WC,,4,IMPASSE
627,,,,,1,EC,EXPUNGE,4,IMPASSE
660,,,,,,WC,,4,IMPASSE
726,,1,,,,WC,,4,IMPASSE
792,,,,,,EC,RESTORATION,4,IMPASSE
693,,,,,,WC,,4,IMPASSE
693,1,,,,,WC,,4,IMPASSE
1023,,,,2,2,FC,,5,IMPASSE
726,,,,,,WC,,5,IMPASSE
726,,,,,,WC,,5,IMPASSE
759,,,,,,WC,,5,IMPASSE
693,,,,,,WC,,5,IMPASSE
264,,,,,,WC,,5,IMPASSE
693,,,,,,WC,,1,IMPASSE
693,1,,,,,WC,,1,IMPASSE
726,,,,,,WC,,1,IMPASSE
726,,1,,,,WC,,1,BLOOMING
660,,,,,,WC,,1,BLOOMING
726,,,,,,WC,,1,BLOOMING
528,,,,,1,EC,ENLIGHTENED HARBINGER,1,BLOOMING
660,,1,,,,WC,,1,BLOOMING
264,,1,,,,WC,,1,BLOOMING
264,,,,,,WC,,1,BLOOMING
264,,1,,,,WC,,1,BLOOMING
231,,,,,,WC,,1,BLOOMING
660,,,,,,EC,CORRUPTED NAVIGATOR,2,BLOOMING
858,1,,,,,EC,OFFERING,2,BLOOMING
726,,,,,,WC,,2,BLOOMING
726,,1,,,,WC,,2,BLOOMING
726,,,,,,WC,,2,BLOOMING
627,,,,,,WC,,2,BLOOMING
726,,,,,,WC,,2,BLOOMING
726,,,,,,WC,,2,BLOOMING
726,,1,,,,WC,,2,BLOOMING
660,,,,,,WC,,2,BLOOMING
264,,,,,,WC,,2,BLOOMING
495,,,,,,HVT,ASHORC,2,BLOOMING
693,,,,,,WC,,2,BLOOMING
726,1,,,,,WC,,2,BLOOMING
693,,,,,,EC,TAKEN PYLONS,3,BLOOMING
0,,,,,,AB,ERKULT,3,BLOOMING
759,,1,,,,WC,,3,BLOOMING
726,,,,,,WC,,3,BLOOMING
660,,,,,,WC,,3,BLOOMING
726,,,,,,WC,,3,BLOOMING
264,,,,,,WC,,3,BLOOMING
693,,1,,,,WC,,3,BLOOMING
693,1,,,,,WC,,3,BLOOMING
726,,,,,,WC,,3,BLOOMING
627,,,,,,WC,,3,BLOOMING
264,,,,,,WC,,3,BLOOMING
264,,,,,,WC,,3,BLOOMING
264,,,,,,WC,,3,BLOOMING
495,,,,,,HVT,ASHORC,3,BLOOMING
726,,,,,,WC,,3,BLOOMING
693,,,,,,WC,,3,BLOOMING
627,,,,,,WC,,3,BLOOMING
726,,,,,,WC,,4,BLOOMING
297,,,,,,WC,,4,BLOOMING
264,1,1,,,,WC,,4,BLOOMING
264,,,,,,WC,,4,BLOOMING
297,,,1,,,WC,,4,BLOOMING
297,,,,,,WC,,4,BLOOMING
231,,,,,,WC,,4,BLOOMING
264,,1,,,,WC,,4,BLOOMING
1023,,,,2,2,FC,,5,BLOOMING
693,,1,,,,WC,,5,BLOOMING
759,,1,,,,WC,,5,BLOOMING
660,,,,,,WC,,5,BLOOMING
726,,,,,,WC,,5,BLOOMING
297,,,,,,WC,,5,BLOOMING
726,,,,,,WC,,5,BLOOMING
660,,,,,,WC,,5,BLOOMING
693,,1,,,,WC,,1,IMPASSE
726,,,,,,WC,,1,IMPASSE
660,,,,,,WC,,1,IMPASSE
726,,,,,,WC,,1,IMPASSE
297,,,,,,WC,,1,IMPASSE
660,,,,,,EC,WARSWORN TAKEN,1,IMPASSE
693,,1,,,,WC,,1,IMPASSE
693,,1,,,,WC,,1,IMPASSE
660,,1,,1,,WC,,1,IMPASSE
693,,,,,,WC,,1,IMPASSE
693,,,,,1,EC,RESTORATION,2,IMPASSE
759,1,,,,,WC,,2,IMPASSE
660,,1,,,,WC,,2,IMPASSE
495,,,,,,HVT,ENLIGHTENED SUBJUGATOR,2,IMPASSE
726,,,,,,WC,,2,IMPASSE
693,,,,,,WC,,2,IMPASSE
297,,,,,,WC,,2,IMPASSE
297,,,,,,WC,,2,IMPASSE
297,,,,,,WC,,2,IMPASSE
693,,,,,,EC,GLYPHTOUCHED OGRE,2,IMPASSE
627,,,,,,WC,,2,IMPASSE
693,,,,,,WC,,2,IMPASSE
693,,1,,,,WC,,2,IMPASSE
693,,,,,,WC,,2,IMPASSE
693,1,1,,,,WC,,3,IMPASSE
0,,,,,,AB,VRHALJA,3,IMPASSE
495,,,,1,,HVT,ENLIGHTENED SUBJUGATOR,3,IMPASSE
660,,1,,,,WC,,3,IMPASSE
825,,,,,,EC,EXPUNGE,3,IMPASSE
726,,,,,,WC,,3,IMPASSE
462,,,,,1,EC,BLIGHT INFECTION,4,IMPASSE
660,,,,,,WC,,4,IMPASSE
627,1,,,,,WC,,4,IMPASSE
330,,,,,1,HVT,ENLIGHTENED SUBJUGATOR,4,IMPASSE
726,,,,,,WC,,4,IMPASSE
693,,,,1,,WC,,4,IMPASSE
660,,,,,,WC,,4,IMPASSE
693,,1,,,,WC,,4,IMPASSE
660,,,,,,WC,,4,IMPASSE
693,,,,,,WC,,4,IMPASSE
726,,1,,,,WC,,4,IMPASSE
1023,,,,1,1,FC,,5,IMPASSE
660,,1,,,,WC,,5,IMPASSE
693,,,,,,WC,,5,IMPASSE
660,,,,,,WC,,5,IMPASSE
627,,1,,,,WC,,5,IMPASSE
792,1,,,,,EC,RESTORATION,5,IMPASSE
660,,1,,,,WC,,5,IMPASSE
693,,,,,,WC,,1,IMPASSE
759,,,,,,WC,,1,IMPASSE
693,,,,,,WC,,1,IMPASSE
495,,,,,,HVT,ENLIGHTENED SUBJUGATOR,1,IMPASSE
264,,1,,,,WC,,1,IMPASSE
693,,1,,,,WC,,1,LANDING
495,,,,,,HVT,BLISTERED OGRE,1,LANDING
759,,,,,,WC,,1,LANDING
726,,,,,,WC,,1,LANDING
693,,,,,,WC,,1,LANDING
726,,,,,,WC,,1,LANDING
660,,,,,,EC,,1,LANDING
693,1,,,,,WC,,1,LANDING
660,,,,,,WC,,2,LANDING
693,,,,,,WC,,2,LANDING
660,,,,,,WC,,2,LANDING
693,,,,,,EC,RUNE DECODING,2,LANDING
660,,1,,,,WC,,2,LANDING
495,,,,,,HVT,BLISTERED OGRE,2,LANDING
726,,,,1,,WC,,2,LANDING
726,,,,,,WC,,2,LANDING
0,,,,,,AB,IRAAKU,3,LANDING
462,1,,,,1,EC,WRATHBRINGER SENTINEL RITUAL,3,LANDING
726,,,,,,WC,,3,LANDING
693,,,,,,WC,,3,LANDING
726,,,,,,WC,,3,LANDING
759,,1,,,,WC,,3,LANDING
693,,,,,,WC,,3,LANDING
726,,,,,,WC,,3,LANDING
660,,1,,,,WC,,3,LANDING
726,,,,,,WC,,3,LANDING
297,,,,,,WC,,3,LANDING
231,,,,,,WC,,3,LANDING
495,,,,,,HVT,BLISTERED OGRE,4,LANDING
726,,,,,,WC,,4,LANDING
693,,,,,,WC,,4,LANDING
580,,,,,,WC,,4,LANDING
693,1,,,,,WC,,4,LANDING
660,,1,,,,WC,,4,LANDING
264,,,,,,WC,,4,LANDING
264,,,,,,WC,,4,LANDING
297,,,,,,WC,,4,LANDING
264,,,,,,WC,,4,LANDING
1023,,,1,,2,FC,IR OKMARR,5,LANDING
693,,,,,,WC,,5,LANDING
726,,,,,,WC,,5,LANDING
693,,,,,,WC,,5,LANDING
627,,,,,,WC,,5,LANDING
297,,,,,,WC,,5,LANDING
231,,,,,,WC,,5,LANDING
693,,1,,,,WC,,1,LANDING
660,,1,,,,WC,,1,LANDING
495,,,,,,HVT,BLISTERED OGRE,1,LANDING
726,,,,,,WC,,1,LANDING
0,,,,1,,AB,URGOTH,1,LANDING
693,,,,,,WC,,1,LANDING
264,1,,,,,WC,,1,LANDING
693,,,,,,WC,,2,LANDING
726,,1,,,,WC,,2,LANDING
627,,1,,,,WC,,2,LANDING
693,,,,,,WC,,2,LANDING
660,,,,,,EC,,2,LANDING
660,,1,,1,,WC,,2,LANDING
693,,1,,,,WC,,2,LANDING
495,1,,,,1,EC,BRAMBLE REMOVAL,3,LANDING
726,,,,,,WC,,3,LANDING
660,,,,,,WC,,3,LANDING
759,,,,,,WC,,3,LANDING
660,,,,,,WC,,3,LANDING
495,,,,,,HVT,BLISTERED OGRE,3,LANDING
693,,,,,,WC,,3,LANDING
726,,,,,,WC,,3,LANDING
693,,,,,,WC,,3,LANDING
660,,,,,,WC,,3,LANDING
495,,,,,1,EC,CONJURED ABOMINATION,3,LANDING
693,,,,,,WC,,3,LANDING
693,1,,,,,WC,,3,LANDING
660,,,,,,WC,,3,LANDING
693,,,,,,WC,,4,LANDING
297,,,,,,WC,,4,LANDING
627,,,,1,1,EC,OFFERING,4,LANDING
627,,,,,,WC,,4,LANDING
693,,1,,,,WC,,4,LANDING
990,,,,,2,FC,,5,LANDING
693,,1,,,,WC,,5,LANDING
726,,,1,,,WC,,5,LANDING
693,,,,,,WC,,5,LANDING
726,,,,,,WC,,5,LANDING
231,,,,,,WC,,5,LANDING
297,,,,,,WC,,5,LANDING
627,,,,,,WC,,1,BLOOMING
726,,,,,,WC,,1,BLOOMING
693,,,,,,WC,,1,BLOOMING
627,,,,,,WC,,1,BLOOMING
297,,,,,,WC,,1,BLOOMING
297,,,,,,WC,,1,BLOOMING
297,,,,,,WC,,1,BLOOMING
231,,,,,,WC,,1,BLOOMING
660,,,,,,EC,SUBJUGATOR,1,BLOOMING
726,,,,,,WC,,1,BLOOMING
759,,,,,,WC,,1,BLOOMING
693,,,,,,WC,,1,BLOOMING
759,,,,,,WC,,1,BLOOMING
693,,,,,,WC,,1,BLOOMING
660,,1,,,,WC,,1,BLOOMING
660,,,,,,WC,,1,BLOOMING
693,1,,,,,WC,,1,BLOOMING
264,,,,,,WC,,2,BLOOMING
495,,,,1,,HVT,ASHORC,2,BLOOMING
693,,,,,,WC,,2,BLOOMING
693,,,,,,EC,BRAMBLE REMOVAL,2,BLOOMING
693,,1,,,,WC,,2,BLOOMING
627,,,,,,WC,,2,BLOOMING
792,,,,,,EC,MENDING,3,BLOOMING
693,,1,,,,WC,,3,BLOOMING
693,,,,,,WC,,3,BLOOMING
726,,,,,,WC,,3,BLOOMING
660,,,,,,WC,,3,BLOOMING
297,,1,,,,WC,,3,BLOOMING
297,,1,,,,WC,,3,BLOOMING
495,1,,,,,HVT,ASHORC,3,BLOOMING
693,,,,,,WC,,3,BLOOMING
693,,,,,,WC,,3,BLOOMING
660,,,,,,WC,,3,BLOOMING
660,,1,,,,WC,,3,BLOOMING
264,,,,,,WC,,3,BLOOMING
759,,,,,,WC,,3,BLOOMING
660,,1,,,,WC,,3,BLOOMING
660,,,,,,WC,,3,BLOOMING
660,,,,,,WC,,3,BLOOMING
726,,,,,,WC,,3,BLOOMING
858,,,,,,EC,OFFERING,4,BLOOMING
693,,,,,,WC,,4,BLOOMING
693,,,,,,WC,,4,BLOOMING
660,,1,,,,WC,,4,BLOOMING
627,,,,,,WC,,4,BLOOMING
264,,,,,,WC,,4,BLOOMING
495,1,,,,,HVT,OGRE ASCENDANT,4,BLOOMING
660,,,,,,WC,,4,BLOOMING
660,,1,,,,WC,,4,BLOOMING
660,,,,,,WC,,4,BLOOMING
759,,,,,,WC,,4,BLOOMING
231,,,,,,WC,,4,BLOOMING
297,,,,,,WC,,4,BLOOMING
231,,,,,,WC,,4,BLOOMING
957,,,,,2,FC,KHOLON,5,BLOOMING
693,,,,,,WC,,5,BLOOMING
693,,,,,,WC,,5,BLOOMING
627,,,,,,WC,,5,BLOOMING
759,,,,,,WC,,5,BLOOMING
264,,,,,,WC,,5,BLOOMING
726,,,,,,WC,,5,BLOOMING
693,1,1,,,,WC,,1,IMPASSE
858,,,,,,EC,RESTORATION,1,IMPASSE
693,,,,,,WC,,1,IMPASSE
660,,1,,,,WC,,1,IMPASSE
693,,1,,,,WC,,1,IMPASSE
693,,,,,,WC,,1,IMPASSE
297,,,,,,WC,,1,IMPASSE
297,,1,,,,WC,,1,IMPASSE
231,,,,,,WC,,1,IMPASSE
264,,,,,,WC,,1,IMPASSE
660,,,,,,EC,HRISK,2,IMPASSE
693,,1,,,,WC,,2,IMPASSE
693,,,,,,WC,,2,IMPASSE
627,1,,,,,WC,,2,IMPASSE
660,,,,,,WC,,2,IMPASSE
726,,1,,,,WC,,2,IMPASSE
495,,,,,,HVT,ENLIGHTENED SUBJUGATOR,2,IMPASSE
627,,,,,,WC,,2,IMPASSE
759,,,,,,WC,,2,IMPASSE
693,,,,,,WC,,2,IMPASSE
693,,,,,,WC,,2,IMPASSE
726,,,,,,WC,,2,IMPASSE
726,,,,,,WC,,2,IMPASSE
726,,,,,,WC,,2,IMPASSE
759,,,,,,WC,,2,IMPASSE
264,,1,,,,WC,,2,IMPASSE
660,,,,,,WC,,2,IMPASSE
693,1,,,,,EC,VISCERA OF NEZAREC,3,IMPASSE
726,,,,,,WC,,3,IMPASSE
693,,,,,,WC,,3,IMPASSE
792,,,,,,EC,EXPUNGE,3,IMPASSE
660,,1,,,,WC,,3,IMPASSE
660,,,,,,WC,,3,IMPASSE
495,,,,,1,EC,GIZAR UR-NOKRU,3,IMPASSE
495,,,,,,HVT,ENLIGHTENED SUBJUGATOR,4,IMPASSE
693,,,,,,WC,,4,IMPASSE
627,1,,,,,WC,,4,IMPASSE
693,,,,,,WC,,4,IMPASSE
660,,1,,,,WC,,4,IMPASSE
231,,,,,,WC,,4,IMPASSE
660,,,,,,WC,,4,IMPASSE
693,,,,,,WC,,4,IMPASSE
495,,,,,,HVT,ENLIGHTENED SUBJUGATOR,4,IMPASSE
693,,1,,,,WC,,4,IMPASSE
693,,,,,,WC,,4,IMPASSE
264,,,,,,WC,,4,IMPASSE
1023,,,,1,2,FC,ARAAXEN,5,IMPASSE
693,,,,,,WC,,5,IMPASSE
726,,1,,,,WC,,5,IMPASSE
726,,,,,,WC,,5,IMPASSE
726,1,1,,,,WC,,5,IMPASSE
660,,,,,,WC,,5,IMPASSE
693,,,,,,WC,,5,IMPASSE
660,,,,,,WC,,5,IMPASSE
759,,,,,,WC,,1,LANDING
693,,,,,,WC,,1,LANDING
726,,,,,,WC,,1,LANDING
660,,1,,,,WC,,1,LANDING
231,,,,,,WC,,1,LANDING
660,,,,,,EC,LIGHTBEARER ACOLYTE RITUAL,1,LANDING
825,,,,,,EC,EXPUNGE,1,LANDING
693,,1,,,,WC,,1,LANDING
627,,1,,,,WC,,1,LANDING
726,1,,,,,WC,,2,LANDING
858,,,,,,EC,OFFERING,2,LANDING
660,,1,,,,WC,,2,LANDING
660,,,,1,,WC,,2,LANDING
825,,,,,,EC,STITCHING,2,LANDING
462,,,,,1,EC,BRAMBLE REMOVAL,3,LANDING
693,,,,,,WC,,3,LANDING
0,,,,,,AB,,3,LANDING
726,,1,,,,WC,,3,LANDING
693,,,,,,WC,,3,LANDING
495,1,,,,1,EC,CLOISTERED OGRES,3,LANDING
825,,,,,,EC,EXPUNGE,4,LANDING
726,,,1,,,WC,,4,LANDING
660,,,,,,WC,,4,LANDING
495,,,,,,HVT,BLISTERED OGRE,4,LANDING
693,,,,,,WC,,4,LANDING
726,,,,,,WC,,4,LANDING
297,,,,,,WC,,4,LANDING
231,,,,,,WC,,4,LANDING
231,,,,,,WC,,4,LANDING
231,,1,,,,WC,,4,LANDING
231,,,,,,WC,,4,LANDING
297,,1,,,,WC,,4,LANDING
297,,,,,,WC,,4,LANDING
792,1,,,,,EC,EXPUNGE,4,LANDING
297,,,,,,WC,,4,LANDING
297,,1,,,,WC,,4,LANDING
264,,,,,,WC,,4,LANDING
495,,,,,,HVT,BLISTERED OGRE,4,LANDING
1056,,,,,2,FC,NOLAKH,5,LANDING
693,,,,,,WC,,5,LANDING
660,,,,,,WC,,5,LANDING
660,,,,1,,WC,,5,LANDING
858,,,,,,EC,OFFERING,5,LANDING
759,,,,,,WC,,5,LANDING
264,,1,,,,WC,,5,LANDING
264,,,,,,WC,,5,LANDING
693,,,,,1,EC,EXPUNGE,1,LANDING
660,,,,,,WC,,1,BLOOMING
726,1,,,,,WC,,1,BLOOMING
660,,,,,,EC,BLIGHT,1,BLOOMING
693,,1,,,,WC,,1,BLOOMING
726,,,,,,WC,,1,BLOOMING
495,,,,,,HVT,ASHORC,1,BLOOMING
726,,,,,,WC,,1,BLOOMING
660,,,,,,EC,WARSWORN TAKEN,2,BLOOMING
825,,,,,,EC,OFFERING,2,BLOOMING
660,,1,,,,WC,,2,BLOOMING
660,,,,,,WC,,2,BLOOMING
693,1,,,,,EC,TAKEN PYLONS,2,BLOOMING
693,,,,,,WC,,2,BLOOMING
0,,,,,,AB,VRHADA,3,BLOOMING
693,,,,,,WC,,3,BLOOMING
693,,,,,,WC,,3,BLOOMING
693,,,,,,WC,,3,BLOOMING
726,,,,,,WC,,3,BLOOMING
264,,,,,,WC,,3,BLOOMING
660,,,,,,WC,,3,BLOOMING
792,,,,,,EC,OFFERING,3,BLOOMING
693,,1,,,,WC,,3,BLOOMING
693,,,,,,WC,,3,BLOOMING
330,,,,,1,HVT,ASHORC,3,BLOOMING
825,1,,,,,EC,MENDING,4,BLOOMING
693,,,,,,WC,,4,BLOOMING
660,,,,,,WC,,4,BLOOMING
726,,,,1,,WC,,4,BLOOMING
660,,1,,,,WC,,4,BLOOMING
693,,,,,,WC,,4,BLOOMING
726,,,,,,WC,,4,BLOOMING
693,,,1,,,WC,,4,BLOOMING
759,,1,,,,WC,,4,BLOOMING
726,,1,,,,WC,,4,BLOOMING
693,,,,,,WC,,4,BLOOMING
660,,,,,,WC,,4,BLOOMING
825,,,,,,EC,OFFERING,4,BLOOMING
693,,,,,,WC,,4,BLOOMING
759,,,,,,WC,,4,BLOOMING
726,1,,,,,WC,,4,BLOOMING
693,,,,,,WC,,4,BLOOMING
264,,,,,,WC,,4,BLOOMING
330,,,,,1,HVT,ASHORC,4,BLOOMING
660,,,,,,WC,,4,BLOOMING
693,,,,,,WC,,4,BLOOMING
726,,,,,,WC,,4,BLOOMING
726,,,,,,WC,,4,BLOOMING
264,,,,,,WC,,4,BLOOMING
264,,1,,,,WC,,4,BLOOMING
297,,,,,,WC,,4,BLOOMING
264,,,,,,WC,,4,BLOOMING
1155,,,,,3,FC,VOXELOS,5,BLOOMING
726,,,,,,WC,,5,BLOOMING
627,,,,,,WC,,5,BLOOMING
693,,,,,,WC,,5,BLOOMING
627,,,,,,WC,,5,BLOOMING
264,,,,,,WC,,5,BLOOMING
825,1,,,,,EC,MENDING,1,BLOOMING
